model,horizon,threshold_scale,recall,precision,n_positive,scenario,fold,seed
LSTM_Excursion__fold0__seed42,30 min,0.9,0.6,0.29508196721311475,30,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,30 min,1.0,0.8901098901098901,0.525974025974026,91,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,30 min,1.1,0.9709302325581395,0.7136752136752137,172,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,30 min,1.2,0.9561752988047809,0.8247422680412371,251,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,45 min,0.8,0.0,0.0,5,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,45 min,0.9,0.5517241379310345,0.2857142857142857,29,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,45 min,1.0,0.8351648351648352,0.5547445255474452,91,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,45 min,1.1,0.9418604651162791,0.7330316742081447,172,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,45 min,1.2,0.9482071713147411,0.8530465949820788,251,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,60 min,0.8,0.0,0.0,5,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,60 min,0.9,0.5862068965517241,0.30357142857142855,29,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,60 min,1.0,0.8681318681318682,0.5231788079470199,91,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,60 min,1.1,0.9595375722543352,0.7217391304347827,173,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,60 min,1.2,0.9721115537848606,0.8327645051194539,251,LSTM_Excursion,0,42
LSTM_Stability__fold0__seed42,15 min,0.8,0.2,0.3333333333333333,5,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,15 min,0.9,0.6129032258064516,0.2923076923076923,31,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,15 min,1.0,0.9347826086956522,0.5119047619047619,92,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,15 min,1.1,0.9709302325581395,0.6761133603238867,172,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,15 min,1.2,0.9681274900398407,0.81,251,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,30 min,0.8,0.4,0.4,5,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,30 min,0.9,0.6333333333333333,0.27941176470588236,30,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,30 min,1.0,0.945054945054945,0.48314606741573035,91,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,30 min,1.1,0.9825581395348837,0.6814516129032258,172,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,30 min,1.2,0.9601593625498008,0.8141891891891891,251,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,45 min,0.8,0.0,0.0,5,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,45 min,0.9,0.6206896551724138,0.32142857142857145,29,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,45 min,1.0,0.8351648351648352,0.49673202614379086,91,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,45 min,1.1,0.9476744186046512,0.7149122807017544,172,LSTM_Stability,0,42
