model,horizon_step,horizon,actual_low,pred_low,TP,FP,FN,TN,precision,recall,f1_score,scenario,fold,seed
GRU_NBeats_lite__fold1__seed42,2,30 min,206,167,117,50,89,780,0.7005988023952096,0.5679611650485437,0.6273458445040214,GRU_NBeats_lite,1,42
GRU_NBeats_lite__fold1__seed42,3,45 min,206,200,132,68,74,762,0.66,0.6407766990291263,0.6502463054187192,GRU_NBeats_lite,1,42
GRU_NBeats_lite__fold1__seed42,4,60 min,206,179,132,47,74,783,0.7374301675977654,0.6407766990291263,0.6857142857142857,GRU_NBeats_lite,1,42
CNN_GRU_Attention__fold1__seed42,1,15 min,206,151,131,20,75,810,0.8675496688741722,0.6359223300970874,0.7338935574229691,CNN_GRU_Attention,1,42
CNN_GRU_Attention__fold1__seed42,2,30 min,206,124,112,12,94,818,0.9032258064516129,0.5436893203883495,0.6787878787878788,CNN_GRU_Attention,1,42
CNN_GRU_Attention__fold1__seed42,3,45 min,206,112,105,7,101,823,0.9375,0.5097087378640777,0.660377358490566,CNN_GRU_Attention,1,42
CNN_GRU_Attention__fold1__seed42,4,60 min,206,139,122,17,84,813,0.8776978417266187,0.5922330097087378,0.7072463768115942,CNN_GRU_Attention,1,42
Persistence_Baseline__fold2__seedNA,1,15 min,96,96,57,39,39,897,0.59375,0.59375,0.59375,Persistence_Baseline,2,NA
Persistence_Baseline__fold2__seedNA,2,30 min,97,96,61,35,36,900,0.6354166666666666,0.6288659793814433,0.6321243523316062,Persistence_Baseline,2,NA
Persistence_Baseline__fold2__seedNA,3,45 min,99,96,56,40,43,893,0.5833333333333334,0.5656565656565656,0.5743589743589743,Persistence_Baseline,2,NA
Persistence_Baseline__fold2__seedNA,4,60 min,100,96,54,42,46,890,0.5625,0.54,0.5510204081632653,Persistence_Baseline,2,NA
Raw_LSTM__fold2__seed42,1,15 min,96,147,84,63,12,873,0.5714285714285714,0.875,0.691358024691358,Raw_LSTM,2,42
Raw_LSTM__fold2__seed42,2,30 min,97,143,85,58,12,877,0.5944055944055944,0.8762886597938144,0.7083333333333334,Raw_LSTM,2,42
Raw_LSTM__fold2__seed42,3,45 min,99,111,73,38,26,895,0.6576576576576577,0.7373737373737373,0.6952380952380952,Raw_LSTM,2,42
Raw_LSTM__fold2__seed42,4,60 min,100,142,81,61,19,871,0.5704225352112676,0.81,0.6694214876033058,Raw_LSTM,2,42
Raw_GRU__fold2__seed42,1,15 min,96,137,83,54,13,882,0.6058394160583942,0.8645833333333334,0.7124463519313304,Raw_GRU,2,42
Raw_GRU__fold2__seed42,2,30 min,97,108,73,35,24,900,0.6759259259259259,0.7525773195876289,0.7121951219512195,Raw_GRU,2,42
Raw_GRU__fold2__seed42,3,45 min,99,133,83,50,16,883,0.6240601503759399,0.8383838383838383,0.7155172413793104,Raw_GRU,2,42
Raw_GRU__fold2__seed42,4,60 min,100,139,82,57,18,875,0.5899280575539568,0.82,0.6861924686192469,Raw_GRU,2,42
LSTM_Suitability__fold2__seed42,1,15 min,96,103,72,31,24,905,0.6990291262135923,0.75,0.7236180904522613,LSTM_Suitability,2,42
LSTM_Suitability__fold2__seed42,2,30 min,97,108,71,37,26,898,0.6574074074074074,0.7319587628865979,0.6926829268292682,LSTM_Suitability,2,42
LSTM_Suitability__fold2__seed42,3,45 min,99,77,59,18,40,915,0.7662337662337663,0.5959595959595959,0.6704545454545454,LSTM_Suitability,2,42
LSTM_Suitability__fold2__seed42,4,60 min,100,112,73,39,27,893,0.6517857142857143,0.73,0.6886792452830188,LSTM_Suitability,2,42
LSTM_Excursion__fold2__seed42,1,15 min,96,131,80,51,16,885,0.6106870229007634,0.8333333333333334,0.7048458149779736,LSTM_Excursion,2,42
LSTM_Excursion__fold2__seed42,2,30 min,97,112,70,42,27,893,0.625,0.7216494845360825,0.6698564593301436,LSTM_Excursion,2,42
LSTM_Excursion__fold2__seed42,3,45 min,99,117,74,43,25,890,0.6324786324786325,0.7474747474747475,0.6851851851851852,LSTM_Excursion,2,42
LSTM_Excursion__fold2__seed42,4,60 min,100,130,79,51,21,881,0.6076923076923076,0.79,0.6869565217391305,LSTM_Excursion,2,42
LSTM_Stability__fold2__seed42,1,15 min,96,144,82,62,14,874,0.5694444444444444,0.8541666666666666,0.6833333333333333,LSTM_Stability,2,42
LSTM_Stability__fold2__seed42,2,30 min,97,139,80,59,17,876,0.5755395683453237,0.8247422680412371,0.6779661016949152,LSTM_Stability,2,42
LSTM_Stability__fold2__seed42,3,45 min,99,109,67,42,32,891,0.6146788990825688,0.6767676767676768,0.6442307692307693,LSTM_Stability,2,42
LSTM_Stability__fold2__seed42,4,60 min,100,128,80,48,20,884,0.625,0.8,0.7017543859649122,LSTM_Stability,2,42
Full_Assessment_Guided_LSTM__fold2__seed42,1,15 min,96,145,79,66,17,870,0.5448275862068965,0.8229166666666666,0.6556016597510373,Full_Assessment_Guided_LSTM,2,42
Full_Assessment_Guided_LSTM__fold2__seed42,2,30 min,97,134,74,60,23,875,0.5522388059701493,0.7628865979381443,0.6406926406926406,Full_Assessment_Guided_LSTM,2,42
Full_Assessment_Guided_LSTM__fold2__seed42,3,45 min,99,124,73,51,26,882,0.5887096774193549,0.7373737373737373,0.6547085201793722,Full_Assessment_Guided_LSTM,2,42
Full_Assessment_Guided_LSTM__fold2__seed42,4,60 min,100,125,76,49,24,883,0.608,0.76,0.6755555555555556,Full_Assessment_Guided_LSTM,2,42
Full_Assessment_GRU__fold2__seed42,1,15 min,96,131,71,60,25,876,0.5419847328244275,0.7395833333333334,0.6255506607929515,Full_Assessment_GRU,2,42
Full_Assessment_GRU__fold2__seed42,2,30 min,97,138,81,57,16,878,0.5869565217391305,0.8350515463917526,0.6893617021276596,Full_Assessment_GRU,2,42
Full_Assessment_GRU__fold2__seed42,3,45 min,99,128,76,52,23,881,0.59375,0.7676767676767676,0.6696035242290749,Full_Assessment_GRU,2,42
Full_Assessment_GRU__fold2__seed42,4,60 min,100,120,79,41,21,891,0.6583333333333333,0.79,0.7181818181818181,Full_Assessment_GRU,2,42
GRU_NBeats_lite__fold2__seed42,1,15 min,96,111,68,43,28,893,0.6126126126126126,0.7083333333333334,0.6570048309178744,GRU_NBeats_lite,2,42
GRU_NBeats_lite__fold2__seed42,2,30 min,97,131,74,57,23,878,0.5648854961832062,0.7628865979381443,0.6491228070175439,GRU_NBeats_lite,2,42
GRU_NBeats_lite__fold2__seed42,3,45 min,99,164,88,76,11,857,0.5365853658536586,0.8888888888888888,0.6692015209125475,GRU_NBeats_lite,2,42
GRU_NBeats_lite__fold2__seed42,4,60 min,100,106,64,42,36,890,0.6037735849056604,0.64,0.6213592233009708,GRU_NBeats_lite,2,42
CNN_GRU_Attention__fold2__seed42,1,15 min,96,134,76,58,20,878,0.5671641791044776,0.7916666666666666,0.6608695652173913,CNN_GRU_Attention,2,42
CNN_GRU_Attention__fold2__seed42,2,30 min,97,111,71,40,26,895,0.6396396396396397,0.7319587628865979,0.6826923076923077,CNN_GRU_Attention,2,42
CNN_GRU_Attention__fold2__seed42,3,45 min,99,132,78,54,21,879,0.5909090909090909,0.7878787878787878,0.6753246753246753,CNN_GRU_Attention,2,42
CNN_GRU_Attention__fold2__seed42,4,60 min,100,169,86,83,14,849,0.5088757396449705,0.86,0.6394052044609665,CNN_GRU_Attention,2,42
