model,horizon_step,horizon,MAE,RMSE,MAPE,R2,scenario,fold,seed
Full_Assessment_Guided_LSTM__fold0__seed2024,4,60 min,0.24706137542235543,0.3244679967238402,5.215340224371197,0.8462195624125038,Full_Assessment_Guided_LSTM,0,2024
Full_Assessment_Guided_LSTM__fold0__seed2024,overall,overall,0.2490340233980081,0.3283273628311412,5.287485912092477,0.8428329094288822,Full_Assessment_Guided_LSTM,0,2024
Full_Assessment_Guided_LSTM__fold0__seed99,1,15 min,0.2718722946582697,0.35589289115144285,5.740674601558999,0.8161601006912753,Full_Assessment_Guided_LSTM,0,99
Full_Assessment_Guided_LSTM__fold0__seed99,2,30 min,0.2751149012736785,0.3571913109257911,5.775273100877948,0.8143096460395556,Full_Assessment_Guided_LSTM,0,99
Full_Assessment_Guided_LSTM__fold0__seed99,3,45 min,0.27065384653287056,0.3540879976334026,5.693641548407874,0.8163981311925328,Full_Assessment_Guided_LSTM,0,99
Full_Assessment_Guided_LSTM__fold0__seed99,4,60 min,0.27633827274273604,0.3586310774193714,5.8148933497671225,0.8121318324364899,Full_Assessment_Guided_LSTM,0,99
Full_Assessment_Guided_LSTM__fold0__seed99,overall,overall,0.2734948288018887,0.3564547454909352,5.756120650152986,0.8147508351775187,Full_Assessment_Guided_LSTM,0,99
Full_Assessment_GRU__fold0__seed42,1,15 min,0.2954427849573966,0.3770167237142444,6.2399897382064955,0.7936890032672832,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,2,30 min,0.30048320972002474,0.3799174680582617,6.324095589389203,0.7899290026832106,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,3,45 min,0.26557624782660066,0.3427958359392525,5.6067607180680445,0.8279218370293188,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,4,60 min,0.2636920856695909,0.34242543514215545,5.563735913286689,0.8287268086271509,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,overall,overall,0.28129858204340324,0.36098582252825684,5.933645489737609,0.810011310013018,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed7,1,15 min,0.2758919358620277,0.3545920603810507,5.732316958384395,0.8175015579264875,Full_Assessment_GRU,0,7
Full_Assessment_GRU__fold0__seed7,2,30 min,0.25612551186634946,0.33562897642287887,5.33984849851675,0.8360518691596338,Full_Assessment_GRU,0,7
Full_Assessment_GRU__fold0__seed7,3,45 min,0.2675324484874041,0.3450613287352415,5.523709107225438,0.8256398370492485,Full_Assessment_GRU,0,7
Full_Assessment_GRU__fold0__seed7,4,60 min,0.27339940435458454,0.352319699251722,5.7199372938638255,0.8186860536251,Full_Assessment_GRU,0,7
Full_Assessment_GRU__fold0__seed7,overall,overall,0.26823732514259147,0.3469794050694156,5.578952964497601,0.8244685852990885,Full_Assessment_GRU,0,7
Full_Assessment_GRU__fold0__seed123,1,15 min,0.267745156679398,0.34857892200405405,5.688221466030191,0.8236386591394005,Full_Assessment_GRU,0,123
Full_Assessment_GRU__fold0__seed123,2,30 min,0.27008028369072157,0.3474110865207671,5.715544398241253,0.8243391743597385,Full_Assessment_GRU,0,123
Full_Assessment_GRU__fold0__seed123,3,45 min,0.2732588069622333,0.3508970019383459,5.758566480662996,0.8196924132447995,Full_Assessment_GRU,0,123
Full_Assessment_GRU__fold0__seed123,4,60 min,0.2740078270740998,0.3545770096334838,5.787923910886248,0.8163552558429822,Full_Assessment_GRU,0,123
Full_Assessment_GRU__fold0__seed123,overall,overall,0.2712730186016132,0.35037668645080805,5.737564063955173,0.8210144958918935,Full_Assessment_GRU,0,123
Full_Assessment_GRU__fold0__seed2024,1,15 min,0.2791840289189265,0.35674223830755886,5.8751447970467865,0.8152815767298643,Full_Assessment_GRU,0,2024
Full_Assessment_GRU__fold0__seed2024,2,30 min,0.2809051720545842,0.363458649594331,5.927541950726391,0.8077361697121969,Full_Assessment_GRU,0,2024
Full_Assessment_GRU__fold0__seed2024,3,45 min,0.289189100986872,0.3711220261364043,6.093621925187241,0.7983082442177589,Full_Assessment_GRU,0,2024
Full_Assessment_GRU__fold0__seed2024,4,60 min,0.2918775709714645,0.3688733158742985,6.1050710363470175,0.8012478492945994,Full_Assessment_GRU,0,2024
Full_Assessment_GRU__fold0__seed2024,overall,overall,0.2852889682329618,0.36509118587186945,6.000344927326859,0.8056653898682464,Full_Assessment_GRU,0,2024
Full_Assessment_GRU__fold0__seed99,1,15 min,0.2602929226435148,0.33882729468529355,5.492161834849918,0.8333681854736018,Full_Assessment_GRU,0,99
Full_Assessment_GRU__fold0__seed99,2,30 min,0.2434522969294817,0.32414799465558364,5.172041147314016,0.847076492303172,Full_Assessment_GRU,0,99
Full_Assessment_GRU__fold0__seed99,3,45 min,0.2525026888358287,0.3303925200404347,5.334783610602123,0.8401490953042757,Full_Assessment_GRU,0,99
Full_Assessment_GRU__fold0__seed99,4,60 min,0.2713374021970309,0.34626517552705494,5.683252274353647,0.8248641762094491,Full_Assessment_GRU,0,99
Full_Assessment_GRU__fold0__seed99,overall,overall,0.25689632765146403,0.33501292778952657,5.420559716779926,0.8363671141984895,Full_Assessment_GRU,0,99
GRU_NBeats_lite__fold0__seed42,1,15 min,0.504498528627249,0.591692254104303,10.135798083647183,0.4918488474615167,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,2,30 min,0.4867796384860308,0.57759378648288,10.103117424227072,0.5144515209966176,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,3,45 min,0.5018264105136578,0.5866841870852845,10.237828689227472,0.49596180087969377,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,4,60 min,0.47460363333041855,0.5600286389734314,9.71948930756211,0.5418814991324403,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,overall,overall,0.49192705273933895,0.5791253572407741,10.04905837616596,0.5110182852482252,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed7,1,15 min,0.46294441550817245,0.5453636025944114,9.378538414648498,0.5683085503229446,GRU_NBeats_lite,0,7
GRU_NBeats_lite__fold0__seed7,2,30 min,0.48620390850458384,0.579293935838356,9.853108461873564,0.5115888867670788,GRU_NBeats_lite,0,7
GRU_NBeats_lite__fold0__seed7,3,45 min,0.4145932437701103,0.5068292430933483,8.32165514610893,0.623835319699599,GRU_NBeats_lite,0,7
